INFO 2021-01-20 08:54:11,860 autoreload 38916 4554444224 Watching for file changes with StatReloader
WARNING 2021-01-20 08:54:37,656 log 38916 123145359917056 Not Found: /
WARNING 2021-01-20 08:54:37,656 basehttp 38916 123145359917056 "GET / HTTP/1.1" 404 2029
WARNING 2021-01-20 08:54:37,704 log 38916 123145359917056 Not Found: /favicon.ico
WARNING 2021-01-20 08:54:37,704 basehttp 38916 123145359917056 "GET /favicon.ico HTTP/1.1" 404 2080
WARNING 2021-01-20 08:54:37,716 log 38916 123145376706560 Not Found: /apple-touch-icon-precomposed.png
WARNING 2021-01-20 08:54:37,716 basehttp 38916 123145376706560 "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 2143
WARNING 2021-01-20 08:54:37,723 log 38916 123145376706560 Not Found: /apple-touch-icon.png
WARNING 2021-01-20 08:54:37,724 basehttp 38916 123145376706560 "GET /apple-touch-icon.png HTTP/1.1" 404 2107
WARNING 2021-01-20 08:54:41,912 log 38916 123145359917056 Unauthorized: /api/accounts/register/
WARNING 2021-01-20 08:54:41,914 basehttp 38916 123145359917056 "GET /api/accounts/register/ HTTP/1.1" 401 9527
INFO 2021-01-20 08:54:41,967 basehttp 38916 123145359917056 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2021-01-20 08:54:41,979 basehttp 38916 123145393496064 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2021-01-20 08:54:41,987 basehttp 38916 123145410285568 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2021-01-20 08:54:41,991 basehttp 38916 123145359917056 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2021-01-20 08:54:41,998 basehttp 38916 123145443864576 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2021-01-20 08:54:42,035 basehttp 38916 123145460654080 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2021-01-20 08:54:42,036 basehttp 38916 123145427075072 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1131
INFO 2021-01-20 08:54:42,043 basehttp 38916 123145393496064 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2021-01-20 08:54:42,047 basehttp 38916 123145410285568 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2021-01-20 08:54:42,049 basehttp 38916 123145359917056 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2021-01-20 08:54:42,133 basehttp 38916 123145359917056 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2021-01-20 08:54:42,204 log 38916 123145359917056 Not Found: /favicon.ico
WARNING 2021-01-20 08:54:42,209 basehttp 38916 123145359917056 "GET /favicon.ico HTTP/1.1" 404 2080
WARNING 2021-01-20 08:54:49,363 log 38916 123145477443584 Not Found: /api/
WARNING 2021-01-20 08:54:49,364 basehttp 38916 123145477443584 "GET /api/ HTTP/1.1" 404 2783
WARNING 2021-01-20 08:54:49,444 log 38916 123145359917056 Not Found: /favicon.ico
WARNING 2021-01-20 08:54:49,445 basehttp 38916 123145359917056 "GET /favicon.ico HTTP/1.1" 404 2080
WARNING 2021-01-20 08:55:21,022 log 38916 123145359917056 Unauthorized: /api/accounts/register/
WARNING 2021-01-20 08:55:21,023 basehttp 38916 123145359917056 "GET /api/accounts/register/ HTTP/1.1" 401 9527
WARNING 2021-01-20 08:55:21,508 log 38916 123145477443584 Not Found: /api/accounts/
WARNING 2021-01-20 08:55:21,509 basehttp 38916 123145477443584 "GET /api/accounts/ HTTP/1.1" 404 4845
WARNING 2021-01-20 08:55:21,568 log 38916 123145359917056 Not Found: /favicon.ico
WARNING 2021-01-20 08:55:21,568 basehttp 38916 123145359917056 "GET /favicon.ico HTTP/1.1" 404 2080
